SampleN,AN,AP,AK,pH,EC,NH4_N,NO3_N,N.N,TN,OM,SoilType,SumTS
E1_2_12,69.3,11.88,199.04,8.29,172.6,,,,,,Roam,1.61072866
E1_2_13,58.52,12.28,216.66,8.22,171.5,,,,,,Roam,4.66326434
E1_2_14,53.9,6.85,155.62,8.17,147.7,,,,,,Roam,1.12318879
E1_2_15,60.06,7.24,191.52,8.31,145.2,,,,,,Roam,2.63548827
E1_2_16,40.04,11.59,174.96,8.19,149.2,,,,,,Roam,2.2543148
E1_3_1,83.16,17.31,242.13,8.19,179.1,,,,,,Clay,1.05125752
E1_3_2,70.84,18.69,287.96,7.9,165.8,,,,,,Clay,2.95721996
E1_3_3,78.54,13.36,272.88,7.99,151.7,,,,,,Clay,3.83958773
E1_3_4,69.3,15.24,299.41,8.09,141.8,,,,,,Clay,4.64433095
E1_3_5,92.4,16.72,308.41,7.87,246.4,,,,,,Clay,4.0350139
E1_3_6,78.54,19.78,320.52,8.06,160.5,,,,,,Clay,1.81668113
E1_3_7,81.62,15.83,260.44,8.0,167.8,,,,,,Clay,5.89870751
E1_3_8,83.16,12.97,278.52,7.92,198.2,,,,,,Clay,2.60062611
E1_3_9,69.3,17.11,258.35,7.94,155.7,,,,,,Clay,1.39874183
E1_3_10,69.3,20.27,283.52,8.13,157.4,,,,,,Clay,1.68013707
E1_3_11,75.46,12.97,215.44,8.16,153.0,,,,,,Clay,1.28263163
E1_3_12,77.0,15.14,269.84,8.02,143.4,,,,,,Clay,0.66807115
E1_3_13,83.16,7.84,247.54,8.0,154.9,,,,,,Clay,5.34901738
E1_3_14,80.08,18.3,282.0,7.93,202.7,,,,,,Clay,0.71922247
E1_3_15,87.78,14.84,261.5,8.16,160.9,,,,,,Clay,1.16800526
E1_3_6d,101.64,13.76,244.17,8.12,168.2,,,,,,Clay,4.31359254
E2_1_1,43.89,7.54,251.57,8.33,130.4,,,,,,Clay,7.38994552
E2_1_2,32.34,6.26,238.06,8.24,138.5,,,,,,Clay,4.26503166
E2_1_3,66.22,13.56,283.59,8.21,134.6,,,,,,Clay,4.76498164
E2_1_4,64.68,11.59,247.78,8.28,147.4,,,,,,Clay,4.1639593
E2_1_5,66.22,12.97,282.22,8.34,122.2,,,,,,Clay,1.11159356
E2_1_7,58.52,9.51,319.54,8.4,141.4,,,,,,Clay,1.32375669
E2_1_8,63.14,9.91,389.11,8.12,143.3,,,,,,Clay,0.51369813
E2_1_9,36.96,5.67,233.75,8.46,114.0,,,,,,Clay,4.71523518
E2_1_10,35.42,3.2,229.37,8.38,120.1,,,,,,Clay,4.20438344
E2_1_11,72.38,15.34,1111.74,7.97,181.1,,,,,,Clay,0.59229868
E2_1_12,67.76,21.75,307.19,8.24,156.8,,,,,,Clay,1.65755708
E2_1_13,89.32,20.17,352.32,8.15,150.7,,,,,,Clay,1.29837407
E2_1_14,77.0,11.09,501.12,8.46,150.4,,,,,,Clay,1.60175865
E2_1_15,73.92,11.88,429.79,8.34,151.0,,,,,,Clay,2.59010553
E2_2_1,36.96,25.01,296.63,8.24,189.4,,,,,,Clay,0.81161576
E2_2_2,43.12,23.33,279.35,8.12,206.3,,,,,,Clay,1.28070683
E2_2_3,61.6,26.39,270.15,7.89,196.2,,,,,,Clay,0.4774581
E2_2_4,30.8,23.04,239.37,8.11,192.8,,,,,,Clay,1.32292036
E2_2_5,73.92,37.45,345.26,7.98,226.9,,,,,,Clay,2.09092202
E2_2_6,60.06,31.23,298.73,7.97,221.7,,,,,,Clay,1.26774612
E2_2_7,56.98,24.81,233.29,8.09,235.1,,,,,,Clay,2.73258433
E2_2_8,70.84,23.73,232.05,8.13,220.6,,,,,,Clay,1.23709359
E2_2_9,27.72,30.64,185.03,8.21,184.5,,,,,,Clay,1.29825364
E2_2_10,23.1,17.9,210.78,8.18,176.1,,,,,,Clay,1.05268791
E2_2_11,40.04,24.91,222.99,8.24,204.2,,,,,,Clay,1.09382854
E2_2_12,49.28,24.62,244.39,8.12,188.1,,,,,,Clay,1.3743497
E2_2_13,56.98,20.37,238.87,8.15,188.9,,,,,,Clay,0.60128121
E2_2_14,41.58,17.71,208.75,8.25,176.7,,,,,,Clay,2.27542339
E2_2_15,41.58,32.51,194.94,8.11,198.1,,,,,,Clay,0.30751923
E3_1_1,52.36,15.73,158.68,8.21,193.8,,,,,,Clay,4.00362416
E3_1_2,64.68,15.34,232.65,8.17,183.9,,,,,,Clay,1.50549623
E3_1_3,63.14,21.36,311.48,8.04,196.4,,,,,,Clay,5.7519008
E3_1_4,55.44,21.36,234.23,8.16,194.2,,,,,,Clay,1.38968652
E3_1_5,43.12,12.77,258.85,8.34,173.3,,,,,,Clay,0.6920387
E3_1_6,53.9,17.02,228.58,8.14,191.0,,,,,,Clay,4.42900562
E3_1_7,75.46,10.3,184.99,8.11,201.7,,,,,,Clay,2.24238862
E3_1_8,41.58,12.87,201.76,8.11,183.7,,,,,,Clay,4.13709612
E3_1_9,38.5,15.34,430.87,8.06,195.8,,,,,,Clay,1.45303041
E3_1_10,72.38,15.93,302.65,8.07,203.2,,,,,,Clay,3.04831955
E3_1_11,61.6,12.18,228.5,8.14,185.1,,,,,,Clay,0.88716836
E3_1_12,73.92,21.46,181.34,8.26,183.2,,,,,,Clay,1.8003643
E3_1_13,55.44,15.73,372.14,8.15,202.9,,,,,,Clay,1.88565463
E3_1_14,64.68,15.93,189.22,8.11,185.9,,,,,,Clay,0.39901409
E3_1_15,41.58,13.96,187.32,8.11,180.8,,,,,,Clay,5.00402622
E3_2_1,40.04,8.63,232.11,8.27,179.8,,,,,,Clay,1.9901615
E3_2_2,47.74,25.9,207.68,8.17,197.0,,,,,,Clay,0.64213034
E3_2_3,41.58,11.78,216.75,8.29,176.4,,,,,,Clay,0.83160815
E3_2_4,46.2,9.61,243.2,8.19,188.4,,,,,,Clay,1.04412938
E3_2_5,41.58,17.61,262.8,8.11,225.9,,,,,,Clay,1.16820574
E3_2_6,30.8,9.81,267.12,8.35,186.1,,,,,,Clay,1.8362848
E3_2_7,69.3,13.86,219.74,8.17,194.3,,,,,,Clay,4.3610527
E3_2_8,60.06,22.05,202.2,8.24,198.7,,,,,,Clay,2.11031329
E3_2_9,30.8,10.4,215.32,8.24,233.0,,,,,,Clay,3.10096413
E3_2_10,47.74,12.97,187.05,8.29,176.8,,,,,,Clay,1.34289804
E3_2_11,50.82,12.38,210.11,8.32,196.1,,,,,,Clay,0.87478055
E3_2_12,29.26,13.96,216.06,8.45,175.5,,,,,,Clay,1.24667498
E3_2_13,38.5,9.51,227.29,8.26,407.3,,,,,,Clay,1.4128532
E3_2_14,30.8,10.01,218.09,8.29,177.6,,,,,,Clay,1.78021672
E3_2_15,32.34,10.9,199.99,8.25,180.0,,,,,,Clay,1.34587289
E4_1_1,67.76,8.82,361.11,8.51,355.2,,,,,,Roam,0.77961254
E4_1_2,35.42,9.32,323.52,7.99,291.8,,,,,,Roam,0.70075456
E4_1_3,33.88,7.24,307.85,8.09,323.7,,,,,,Roam,2.19838191
E4_1_4,67.76,15.83,329.4,8.16,382.7,,,,,,Roam,1.9980857
E4_1_6,36.19,9.12,308.8,8.59,360.4,,,,,,Roam,1.85866869
E4_1_7,69.3,7.84,330.2,8.11,231.3,,,,,,Roam,1.19227289
E4_1_8,51.59,8.63,314.36,8.07,301.4,,,,,,Roam,1.9076631
E4_1_9,80.08,10.5,327.87,8.69,352.5,,,,,,Roam,0.89108498
E4_1_10,41.58,7.15,277.06,8.09,246.6,,,,,,Roam,1.22036853
E4_1_11,69.3,7.74,305.11,8.01,252.0,,,,,,Roam,1.7132571
E4_1_12,44.66,9.81,309.37,8.55,327.2,,,,,,Roam,1.63599715
E4_1_13,44.66,7.05,292.07,8.65,337.2,,,,,,Roam,0.63264821
E4_1_14,21.56,9.81,346.02,8.12,262.5,,,,,,Roam,1.39577132
E4_1_15,30.8,7.94,286.92,8.67,330.6,,,,,,Roam,2.22277218
E4_1_16,64.68,11.19,380.98,8.23,417.1,,,,,,Roam,0.76860386
E4_2_1,46.2,25.31,382.59,8.26,166.5,,,,,,Clay,5.80382255
E4_2_2,61.6,11.49,254.4,8.12,202.2,,,,,,Clay,15.6538095
E4_2_3,77.0,34.78,562.03,8.14,249.8,,,,,,Clay,1.38006103
E4_2_4,60.06,20.17,325.4,8.24,156.0,,,,,,Clay,1.40292726
E4_2_5,64.68,29.45,405.67,8.23,162.8,,,,,,Clay,8.5226493
E4_2_6,52.36,19.78,310.91,8.18,196.5,,,,,,Clay,3.62808599
E4_2_7,50.82,20.96,294.52,8.27,141.9,,,,,,Clay,4.00244019
E4_2_8,51.59,27.97,457.07,8.28,177.1,,,,,,Clay,3.83780196
E4_2_9,41.58,17.9,334.57,8.31,160.5,,,,,,Clay,2.0471743
E4_2_10,67.76,26.89,450.41,8.05,223.1,,,,,,Clay,3.33295367
E4_2_11,33.88,15.73,360.41,8.33,168.9,,,,,,Clay,0.85418091
E4_2_12,58.52,27.87,348.64,8.24,172.7,,,,,,Clay,2.50460064
E4_2_13,54.67,27.08,203.93,8.24,182.2,,,,,,Clay,2.16205436
E4_2_14,,27.18,357.8284672,8.31,192.6,,,,,,Clay,2.32246065
E4_2_15,81.62,18.99,333.3,8.16,170.6,,,,,,Clay,3.18853951
E5_1_1,58.52,8.63,178.72,8.29,190.9,,,,,,Clay,3.25271243
E5_1_2,29.26,19.38,130.64,8.41,173.2,,,,,,Clay,7.04415637
E5_1_3,64.68,7.74,149.78,8.35,202.1,,,,,,Clay,4.24215058
E5_1_4,77.0,11.59,253.86,8.23,214.7,,,,,,Clay,2.70970801
E5_1_5,52.36,8.53,112.54,8.35,191.2,,,,,,Clay,11.2028313
E5_1_6,77.0,14.84,207.81,8.47,240.4,,,,,,Clay,2.24636839
E5_1_7,47.74,6.85,153.56,8.21,200.8,,,,,,Clay,9.36123363
E5_1_8,69.3,14.75,208.25,8.25,222.2,,,,,,Clay,4.48405712
E5_1_9,104.72,11.98,196.7,7.98,272.1,,,,,,Clay,4.47168245
E5_1_10,92.4,18.5,182.19,8.15,241.7,,,,,,Clay,1.72144927
E5_1_11,70.84,15.53,158.44,8.18,218.3,,,,,,Clay,1.23493703
E5_1_12,60.06,9.32,196.2,8.21,235.0,,,,,,Clay,9.07289648
E5_1_13,107.8,9.61,190.28,8.01,227.4,,,,,,Clay,7.2401311
E5_1_14,89.32,9.42,180.28,8.14,288.4,,,,,,Clay,4.04144274
E5_1_15,56.98,11.49,157.22,8.18,195.7,,,,,,Clay,8.14679163
E5_1_16,64.68,9.91,170.8,8.25,206.2,,,,,,Clay,5.42978468
E6_1_5,322.8764,33.13108734,109.44,7.91,99.9,10.43,5.24,15.67,1331.3146,21.42143765,Clay,2.27213762
E6_1_6,154.154,22.33567326,80.2,7.99,94.4,8.42,3.96,12.38,1185.6306,17.79658577,Clay,2.54840314
E6_1_7,269.346,27.13812507,83.34,7.94,101.9,8.64,5.31,13.95,1331.3146,17.11741235,Clay,4.32821903
E6_1_8,186.34,24.55187832,83.62,7.93,95.2,5.35,4.79,10.14,1299.298,19.35876456,Clay,1.19641036
E6_1_9,322.8764,25.21628194,79.42,7.88,96.1,6.9,3.93,10.83,1239.8386,21.35646868,Clay,3.92951746
E6_1_10,249.018,34.13037404,120.66,7.82,113.6,7.52,5.07,12.59,1375.0198,24.66934457,Clay,6.02009035
E6_1_11,272.9034,28.27172827,88.84,7.79,137.1,9.61,5.84,15.45,1322.8446,20.49548677,Clay,3.35163018
E6_1_12,189.728,24.93218446,74.28,7.74,112.3,6.73,4.0,10.73,1228.6582,21.98337708,Clay,4.18089096
E6_1_13,271.2094,22.95867439,79.42,7.75,112.8,9.66,5.78,15.44,1610.8246,20.20163551,Clay,2.5704992
E6_1_14,189.728,29.69310482,83.56,7.73,99.0,8.13,4.46,12.59,1254.407,25.05490465,Clay,3.26890852
E6_1_15,267.652,20.08072251,116.46,7.73,98.1,6.62,3.65,10.27,1221.2046,17.75370064,Clay,3.91415984
E6_2_5,135.52,3.598560576,205.15,8.08,135.8,4.25,6.72,10.97,973.8806,10.84629755,Clay,19.0540675
E6_2_6,269.346,5.397409244,90.45,8.12,121.6,3.46,3.43,6.89,659.1354,15.64720017,Clay,14.4963765
E6_2_7,243.936,9.688373951,175.65,7.99,134.0,5.13,3.86,8.99,985.908,7.678020343,Clay,5.40881632
E6_2_8,214.291,10.58687228,117.2,8.0,119.8,2.97,4.72,7.69,680.8186,11.28308497,Clay,17.4383453
E6_2_9,127.05,4.388239518,152.25,8.04,134.8,4.49,2.74,7.23,770.6006,8.089986119,Clay,8.96830379
E6_2_10,217.8484,4.599080184,153.25,8.03,133.1,5.16,3.4,8.56,892.5686,11.25447493,Clay,5.1858526
E6_2_11,162.624,4.798080768,128.3,8.05,142.8,4.88,4.76,9.64,935.935,13.62182095,Clay,16.4319692
E6_2_12,267.652,7.298832187,206.5,8.07,100.0,5.26,2.9,8.16,856.9946,10.49527037,Clay,8.67977539
E6_2_13,189.728,1.862281977,135.15,8.05,136.7,4.78,3.57,8.35,727.573,13.36082988,Clay,13.9920023
E6_2_14,267.652,3.299340132,151.3,8.06,143.1,4.46,4.2,8.66,812.9506,7.798800924,Clay,17.3927396
E6_2_15,152.46,4.397889013,170.4,8.08,130.5,3.3,2.85,6.15,868.8526,10.97259796,Clay,15.3950345
E6_2_16,217.8484,3.993769719,148.35,8.25,102.6,4.62,4.23,8.85,807.8686,10.35304584,Clay,1.5181785
E7_1_5,310.002,17.75596521,133.6,7.3,85.2,7.74,4.15,11.89,1426.6868,15.71637732,Roam,5.72107581
E7_1_6,267.652,21.58100871,98.75,6.8,85.8,15.39,3.4,18.79,801.0926,20.39067877,Roam,5.43271814
E7_1_7,201.4166,18.25837091,94.0,6.31,61.7,5.95,2.86,8.81,655.2392,10.92941945,Roam,11.2438111
E7_1_8,271.2094,19.9505227,139.1,6.02,40.3,5.7,3.72,9.42,990.8206,9.898772566,Roam,14.1728544
E7_1_9,157.542,23.72975991,92.6,5.82,87.3,17.17,3.71,20.88,923.9076,14.99542751,Roam,6.73847658
E7_1_10,272.734,22.35261246,146.5,5.75,76.4,6.2,4.2,10.4,1100.9306,12.35933007,Roam,8.81256465
E7_1_11,189.728,17.89284286,131.0,5.72,77.9,10.6,3.0,13.6,827.1802,19.45069845,Roam,6.87017432
E7_1_12,271.2094,28.11791383,122.95,5.93,67.8,5.56,3.31,8.87,799.3986,9.843350268,Roam,4.56409357
E7_1_13,206.668,18.97040617,97.1,5.97,74.2,4.94,4.37,9.31,1044.5204,11.31109896,Roam,8.08756718
E7_1_14,322.8764,23.78763043,159.6,5.83,80.5,8.11,3.23,11.34,990.8206,13.64973314,Roam,2.29500721
E7_1_15,431.97,17.78079674,80.45,5.85,213.0,12.33,6.21,18.54,3298.218,14.1268125,Roam,16.4390904
E8_1_5,277.9854,26.74864261,332.15,7.24,96.3,5.96,4.38,10.34,1565.0866,19.18611157,Clay,2.96926041
E8_1_6,306.2752,24.15844747,219.2,7.25,93.7,4.49,4.99,9.48,1791.5744,19.95640153,Clay,1.51328592
E8_1_7,329.6524,29.75120802,257.4,7.26,92.7,4.69,4.35,9.04,1644.7046,22.4594823,Clay,10.9567105
E8_1_8,247.324,25.67637773,202.7,7.34,103.2,8.75,6.46,15.21,1590.1578,24.54546837,Clay,4.66316004
E8_1_9,326.2644,30.90358083,196.1,7.36,154.1,7.56,8.87,16.43,1631.1526,20.31934071,Clay,1.58708779
E8_1_10,369.292,29.96883241,232.3,7.34,91.8,8.73,6.7,15.43,1678.0764,18.8958053,Clay,2.45889122
E8_1_11,269.346,28.73333865,333.15,7.36,128.5,1.89,14.62,16.51,1392.2986,21.9854825,Clay,7.06227158
E8_1_12,242.242,20.8716146,206.9,7.36,117.5,5.99,9.2,15.19,1468.0204,16.9260651,Clay,2.96737829
E8_1_13,271.2094,25.84211367,248.9,7.4,122.8,6.22,7.2,13.42,1519.3486,17.64359882,Clay,3.12595191
E8_1_14,323.554,22.06822176,223.25,7.4,143.1,6.83,9.24,16.07,1667.743,18.0642785,Clay,3.96478647
E8_1_15,326.2644,25.5489022,282.7,7.49,122.1,3.56,5.46,9.02,1624.3766,19.64767779,Clay,3.55238622
F1_1_6,323.554,26.90851106,119.6,7.49,329.0,5.76,7.91,13.67,2454.4366,20.05263984,Clay,5.58425242
F1_1_7,326.2644,42.54044338,175.65,7.55,395.0,5.66,17.81,23.47,2378.7148,29.04872532,Clay,0.37251712
F1_1_8,245.63,32.23552894,183.1,7.67,284.0,4.74,11.62,16.36,2185.0906,20.38913706,Clay,2.919461
F1_1_9,271.2094,14.6,121.65,7.77,172.6,4.08,7.8,11.88,1831.214,20.25423466,Clay,10.4654534
F1_1_10,225.302,11.16516469,108.95,7.78,241.0,5.52,13.6,19.12,1793.7766,21.41868134,Clay,6.8343158
F1_1_11,322.8764,23.68957659,101.3,7.71,234.0,8.39,8.81,17.2,2024.1606,20.12213495,Clay,2.67242294
F1_1_12,282.898,34.86513487,120.4,8.01,229.0,7.18,13.75,20.93,2259.6266,13.09383344,Clay,3.94672949
F1_1_13,303.9036,19.85473121,127.35,8.23,194.0,4.13,7.46,11.59,2289.2716,19.91831999,Clay,2.31724857
F1_1_14,369.292,17.5831202,143.55,7.87,196.2,4.29,10.17,14.46,2293.5066,20.63924258,Clay,4.58188453
F1_1_15,324.5704,19.33811802,189.3,7.88,248.0,4.53,9.35,13.88,2104.9644,17.56848049,Clay,3.55414971
F1_2_5,193.116,7.288629738,106.35,7.83,53.5,5.37,2.75,8.12,518.1946,11.78788404,Clay,5.46914739
F1_2_6,267.652,9.395865819,110.7,7.85,43.0,5.73,3.27,9.0,902.7326,12.74811653,Clay,2.91730113
F1_2_7,189.728,8.09255485,94.95,7.86,48.5,11.54,2.75,14.29,784.1526,10.26873685,Clay,6.51534097
F1_2_8,299.838,6.776958342,90.25,7.78,37.3,6.8,3.12,9.92,658.7966,11.92738562,Clay,4.61811753
F1_2_9,215.985,8.091908092,88.75,7.74,48.1,14.76,3.62,18.38,790.9286,11.12265879,Clay,5.35252904
F1_2_10,188.034,6.190095847,140.55,7.24,64.4,5.42,3.4,8.82,910.1862,9.794693672,Clay,4.52771354
F1_2_11,181.5968,10.28601103,123.5,7.33,50.4,7.19,4.15,11.34,851.9126,21.33362977,Clay,3.44456462
F1_2_12,189.728,9.073505364,120.5,7.09,82.5,6.52,3.08,9.6,908.3228,13.85909914,Clay,8.89802932
F1_2_13,215.985,6.388245628,116.25,7.35,84.9,7.28,5.36,12.64,946.7766,15.0945036,Clay,5.69708347
F1_2_14,189.728,8.477619086,106.25,7.41,125.5,6.57,4.79,11.36,853.6066,20.00511842,Clay,4.25619949
F1_2_15,214.291,11.99328376,111.95,7.42,70.3,2.91,5.89,8.8,1087.548,9.782519462,Clay,4.47511946
F1_3_5,248.6792,7.976708013,155.05,7.75,121.4,0.4,5.7,6.1,967.1046,11.33579833,Clay,3.49588824
F1_3_6,269.346,9.079661558,157.65,7.62,125.8,9.11,6.63,15.74,1044.351,7.839439052,Clay,0.77031341
F1_3_8,215.985,9.571286142,149.1,7.6,119.9,9.74,6.59,16.33,977.2686,7.01009677,Clay,5.16608004
F1_3_9,271.2094,6.699732011,149.35,7.48,128.8,8.11,4.61,12.72,1039.269,12.36586042,Clay,2.52852792
F1_3_10,267.652,9.292565947,141.0,7.52,133.4,5.08,5.98,11.06,984.0446,12.83356886,Clay,3.58456848
F1_3_11,271.2094,6.982125758,136.5,7.9,127.3,3.25,6.7,9.95,1009.9628,9.148594713,Clay,1.27443951
F1_3_12,265.958,8.981318857,177.7,7.92,142.0,2.93,9.82,12.75,1036.5586,7.572311062,Clay,3.52095429
F1_3_13,322.8764,6.993006993,148.4,7.95,125.2,11.06,8.61,19.67,868.8526,9.73204726,Clay,1.10890514
F1_3_15,267.652,7.089507529,136.75,7.98,151.2,5.01,6.6,11.61,853.6066,8.767434967,Clay,4.31210979
F1_4_5,284.9308,15.36067667,172.1,8.03,143.4,4.01,13.53,17.54,1832.7386,8.774499816,Clay,0.03287184
F1_4_6,326.2644,15.79115695,261.45,7.96,161.0,6.83,6.81,13.64,1879.493,16.71033203,Clay,1.12070081
F1_4_7,326.2644,17.54805775,159.8,7.05,148.1,10.34,8.86,19.2,1976.7286,20.22031623,Clay,0.0778711
F1_4_8,324.5704,21.46994208,197.2,8.02,151.2,5.28,18.29,23.57,2018.9092,22.96283641,Clay,0.96500381
F1_4_9,326.2644,18.85249172,169.65,7.92,140.8,8.52,11.3,19.82,1988.5866,22.85575236,Clay,1.15279307
F1_4_10,272.9034,18.36693951,157.15,8.01,262.0,7.58,6.89,14.47,1853.5748,22.78199421,Clay,0.75182725
F1_4_11,324.5704,18.38088388,200.05,8.03,155.2,8.53,8.92,17.45,1824.2686,13.73628257,Clay,2.0575597
F1_4_12,274.5974,16.99048533,173.85,7.99,199.4,5.91,8.18,14.09,1925.9086,18.73322228,Clay,1.94481763
F1_4_13,271.2094,17.57539445,150.65,8.03,141.4,9.04,7.85,16.89,1871.7006,21.73737738,Clay,0.06863557
F1_4_14,274.5974,17.67454865,178.1,7.97,152.6,4.1,8.15,12.25,1857.1322,21.4183144,Clay,0.10296875
F1_4_15,326.2644,19.07710747,161.25,8.02,161.5,10.12,7.85,17.97,1983.5046,16.50564474,Clay,3.77758759
F1_5_5,217.8484,7.594228386,143.65,8.23,143.7,6.11,5.22,11.33,940.0006,8.471472558,Clay,1.21353812
F1_5_6,94.864,6.882930333,154.45,8.24,132.7,4.71,4.85,9.56,743.4966,14.61125295,Clay,3.55637864
F1_5_7,199.892,6.480558325,143.4,8.11,152.2,5.45,5.07,10.52,801.6008,10.84687596,Clay,3.22682961
F1_5_8,186.34,5.787730012,133.35,8.17,134.0,1.86,4.38,6.24,745.1906,6.887348405,Clay,4.34331092
F1_5_9,217.8484,8.096761295,111.25,8.17,184.3,2.26,9.33,11.59,791.4368,7.883318778,Clay,4.14791374
F1_5_10,121.968,7.385229541,149.6,8.05,144.7,7.32,4.73,12.05,729.9446,6.492218611,Clay,1.60019752
F1_5_11,267.652,6.090498822,152.05,8.21,139.4,4.02,4.39,8.41,896.2954,6.125047528,Clay,2.5223805
F1_5_12,313.39,17.36249701,158.6,8.19,136.0,2.78,16.42,19.2,1968.2586,8.266350641,Clay,4.05911244
F1_5_13,267.652,5.893634874,116.95,8.2,140.0,0.5,3.07,3.57,734.5184,22.76870287,Clay,1.60911948
F1_5_14,121.968,7.696921232,160.65,8.16,137.2,11.29,17.38,28.67,848.5246,5.896817694,Clay,2.80896524
F1_5_15,269.346,5.687033563,134.8,8.19,88.5,0.4,3.45,3.85,720.797,7.237378694,Clay,4.53753096
F2_1_1,52.36,11.98,222.66,8.13,146.8,,,,,,Clay,1.15822226
F2_1_2,73.92,21.46,245.97,7.99,170.9,,,,,,Clay,0.31699041
F2_1_3,56.98,22.74,202.46,8.17,155.1,,,,,,Clay,0.58068853
F2_1_4,95.48,9.02,206.59,7.82,158.4,,,,,,Clay,1.21502361
F2_1_5,69.3,10.5,280.42,7.65,201.9,,,,,,Clay,1.04061422
F2_1_6,78.54,10.99,231.18,8.21,158.2,,,,,,Clay,1.38413235
F2_1_7,81.62,17.61,371.63,8.01,207.9,,,,,,Clay,1.26157138
F2_1_9,60.06,14.15,273.91,8.01,130.2,,,,,,Clay,1.06534349
F2_1_10,55.44,12.28,248.53,7.36,175.8,,,,,,Clay,0.96941772
F2_1_11,60.06,16.62,261.06,7.59,182.3,,,,,,Clay,0.62665565
F2_1_12,87.78,18.5,249.36,8.08,198.2,,,,,,Clay,0.97909089
F2_1_13,73.92,10.8,249.58,8.13,164.4,,,,,,Clay,0.79429077
F2_1_14,61.6,13.86,280.2,7.74,186.9,,,,,,Clay,0.53259075
F2_1_15,72.38,9.61,214.32,8.25,161.8,,,,,,Clay,1.11614516
F2_2_1,75.46,37.94,145.59,6.54,80.2,,,,,,Clay,0.24418115
F2_2_2,63.14,19.29,218.79,7.85,215.4,,,,,,Clay,0.41063438
F2_2_3,70.84,14.15,178.57,7.88,203.3,,,,,,Clay,0.91336053
F2_2_4,60.06,19.68,238.44,7.91,214.4,,,,,,Clay,0.68842933
F2_2_5,55.44,41.29,214.76,7.75,205.0,,,,,,Clay,0.31659446
F2_2_6,67.76,18.5,203.14,7.85,216.5,,,,,,Clay,0.34725309
F2_2_7,80.08,28.17,200.46,7.82,235.5,,,,,,Clay,0.24002017
F2_2_8,69.3,10.4,200.81,7.86,233.1,,,,,,Clay,0.26030367
F2_2_9,75.46,7.24,166.99,8.46,346.7,,,,,,Clay,0.28407186
F2_2_10,80.08,10.01,266.82,7.74,279.6,,,,,,Clay,0.17065082
F2_2_11,80.08,22.94,203.13,7.84,223.9,,,,,,Clay,0.27594621
F2_2_12,43.12,22.05,160.23,7.83,187.9,,,,,,Clay,0.76254405
F2_2_13,58.52,21.75,167.69,7.91,158.5,,,,,,Clay,1.38188463
F2_2_14,90.86,21.16,212.3,7.86,202.3,,,,,,Clay,0.22675427
F2_2_15,52.36,24.71,156.97,7.87,187.5,,,,,,Clay,0.22300009
F2_2,58.52,20.77,166.13,8.13,176.8,,,,,,Clay,0.38701702
F3_1_1,64.68,4.28,271.04,8.55,330.0,,,,,,Clay,2.79903081
F3_1_3,66.22,5.47,236.74,8.55,255.3,,,,,,Clay,2.83157092
F3_1_4,69.3,4.58,235.61,8.63,310.2,,,,,,Clay,1.83802981
F3_1_5,69.3,2.31,268.94,8.6,245.9,,,,,,Clay,3.08526052
F3_1_6,72.38,11.69,241.7,8.74,250.4,,,,,,Clay,3.13560921
F3_1_7,77.0,21.0,258.21,8.36,234.7,,,,,,Clay,1.30642734
F3_1_8,69.3,9.61,232.35,8.61,251.1,,,,,,Clay,2.76826235
F3_1_9,64.68,9.81,275.01,8.63,267.6,,,,,,Clay,1.93863401
F3_1_10,49.28,7.74,278.02,8.63,279.3,,,,,,Clay,2.03827289
F3_1_11,64.68,8.63,303.21,8.66,242.0,,,,,,Clay,2.37441388
F3_1_12,38.5,10.01,304.25,8.66,237.4,,,,,,Clay,3.06643302
F3_1_13,55.44,11.39,310.88,8.62,257.0,,,,,,Clay,3.58628838
F3_1_14,89.32,11.69,260.07,8.67,261.1,,,,,,Clay,2.12582359
F3_1_15,70.84,6.55,279.88,8.66,264.5,,,,,,Clay,3.09878616
F3_2_1,73.92,25.21,219.4,7.5,158.4,,,,,,Roam,0.32694968
F3_2_2,58.52,22.15,183.02,7.77,183.3,,,,,,Roam,0.77883597
F3_2_3,100.1,46.03,199.22,5.9,240.9,,,,,,Roam,1.32611427
F3_2_4,61.6,47.51,161.66,6.94,193.8,,,,,,Roam,0.68683292
F3_2_5,64.68,21.26,122.87,6.77,198.3,,,,,,Roam,0.82421603
F3_2_6,77.0,26.39,161.31,6.34,106.0,,,,,,Roam,0.39913993
F3_2_7,106.26,14.75,176.65,6.81,180.3,,,,,,Roam,0.72582831
F3_2_8,60.06,29.55,115.83,7.86,89.7,,,,,,Roam,1.19959218
F3_2_9,207.9,40.7,138.92,7.72,451.1,,,,,,Roam,0.19181638
F3_2_11,123.2,74.16,166.01,7.8,250.4,,,,,,Roam,0.42642752
F3_2_12,50.82,33.99,104.23,7.49,145.6,,,,,,Roam,0.79715535
F3_2_14,81.62,34.09,146.25,8.08,151.3,,,,,,Roam,0.56533891
F3_2_15,97.02,38.73,198.62,8.01,142.1,,,,,,Roam,0.08896571
F4_1_5,272.9034,7.692307692,128.05,6.87,66.6,8.54,3.16,11.7,1245.937,15.92741216,Roam,1.34620929
F4_1_6,249.018,5.38986705,274.0,6.8,99.2,9.4,12.89,22.29,1375.3586,14.47410363,Roam,1.15578807
