SampleN,V_S,Na_S,Co_S,SumTS
D5_2_11,59.3055,313.0635,11.1945,8.07512872
D5_2_12,61.8085,333.6775,11.006,9.41963296
D5_2_14,66.3495,376.015,11.451,5.73565318
D5_2_15,61.7915,309.8825,11.4215,11.4314107
D6_1_1,62.3035,272.927,10.56,6.70535024
D6_1_2,59.9345,287.1415,9.853,3.06641411
D6_1_3,60.0655,280.3675,9.638,3.25015117
D6_1_4,69.484,362.56,10.7325,3.41579536
D6_1_5,60.6795,276.826,9.9245,1.62641927
D6_1_6,61.798,281.2705,10.667,7.1263649
D6_1_7,49.38,174.8155,9.213,2.07730225
D6_1_8,61.1695,290.1875,10.278,3.01600937
D6_1_9,69.603,367.831,10.837,8.52748965
