SampleN,Mn_S,Cu_S,Fe_S,Zn_S,Mg_S,K_S,Ca_S,Mo_S,SumTS
A3_3_7,153.7092155,9.268487621,13137.46224,27.63313429,3998.910924,2363.589937,2012.858148,0.217348744,8.55818376
A3_3_8,159.4698089,10.07271199,14378.97396,28.8865572,4167.939043,2414.635804,2388.438992,0.249333651,6.45109927
A3_3_9,172.8728437,10.10445389,15246.43169,39.04619564,4601.666822,2657.511688,2371.741353,0.242323816,3.58956517
A3_3_10,155.3715654,9.462369353,13052.14819,30.60981059,3942.68705,2289.746751,2309.960656,0.222948066,5.98206333
A3_3_11,206.3058042,12.33072119,15635.74187,39.15725662,5187.647453,2883.242469,3414.124428,0.220133754,4.50307087
A3_3_12,168.3210527,10.30316403,13381.96852,37.37181443,4314.775236,2525.707536,2787.65679,0.203469034,3.80522044
A3_3_13,196.711491,11.12369774,15736.58596,42.94450863,5039.087805,2803.944263,2761.337084,0.22060178,8.43595922
A3_3_14,166.9933067,8.699517989,13769.95451,37.30094611,4335.186065,2581.659987,2320.911095,0.17962554,4.24431618
A3_3_15,161.2277992,11.86602666,14037.3049,44.11796366,4204.506693,2250.909523,2697.598946,0.216819375,7.47977887
A5_1_1,475.8608829,30.52449981,25944.04403,43.04412438,10437.92119,3282.865005,38466.19717,0.830351001,9.07404803
A5_1_2,490.9851241,36.32458137,29162.11461,49.50548944,12942.40762,3973.564643,44239.62746,1.228476932,13.1951828
A5_1_3,533.3741246,38.4953153,30693.32954,50.5296078,13694.09917,4007.813295,47444.86503,0.589395295,11.8516862
A5_1_4,464.2162365,35.90046719,27461.20422,46.97504967,11403.27271,3419.96071,41513.51872,0.573426705,12.131657
A5_1_5,408.3617233,39.68778275,24764.30763,42.95457756,10608.30382,3140.946355,38253.47593,0.50283104,18.7645276
A5_1_6,411.8351329,36.84116133,24615.00499,41.10725068,10560.15889,3064.008967,38157.38356,0.521637955,21.4486654
A5_1_7,412.3840485,38.46483166,24466.55882,44.61766951,10382.60522,3237.644216,38585.40579,0.538748259,14.898623
A5_1_8,439.528688,40.99847196,26339.33814,45.20057896,11686.06835,3199.923971,40255.7896,0.500168779,17.1878259
A5_1_9,430.9910827,34.18496495,26145.8948,45.43139048,11005.52111,3202.784115,40185.5625,0.455489302,3.12917722
A5_1_10,432.4907574,31.21698775,25962.99835,44.39910253,11216.37324,3341.21427,40122.83775,0.458972601,6.82570885
A5_1_11,425.6913474,33.3418144,25508.4824,43.13879379,10928.89511,3203.504847,39402.0398,0.519318441,14.9494809
A5_1_12,392.1741494,29.84039492,23783.43199,38.9232821,9964.711202,2990.462456,35422.1852,0.465847654,12.3400376
A5_1_13,366.4063318,30.16199944,21819.12726,35.97868405,9305.063393,2629.805288,34003.40129,0.413847181,7.59879261
A5_1_14,398.0055959,31.01675586,23427.27769,40.11145484,9714.882849,2797.07679,34736.64111,0.449899851,8.89757047
A5_1_15,397.1125882,27.43852713,23485.33925,40.19904762,9860.183617,2825.447888,35730.42108,0.445867826,9.26392582
A5_1_16,391.5852083,29.98753959,21841.44058,33.83821977,9048.909083,2627.280225,33149.54062,0.872206661,14.9150658
A5_1_13d,375.1267368,28.72170558,22854.83743,36.90081828,9588.789346,2610.211355,35850.0435,0.652753133,8.56641583
A5_1_14d,469.9297083,31.3800144,27192.5808,45.2474793,11236.83601,3535.733858,40005.9773,0.523099229,11.5411993
A5_2_1,353.8089253,21.11146557,19687.49541,32.95071114,7349.115506,2353.3669,29797.82413,0.819870078,11.5534482
A5_2_2,366.0023695,26.83812603,20598.46189,35.0324456,7713.975733,2438.275817,30427.61027,0.629304339,14.0181308
A5_2_3,337.5720798,22.90021101,19477.47453,30.30655474,6822.397002,1916.439029,27364.7976,0.6173780719999999,14.3742917
A5_2_4,365.2702889,24.32349852,20626.35506,32.77416981,7631.436104,2226.933441,29787.35879,0.478757581,13.7902942
