SampleN,Ga_S,Rb_S,Li_S,Sr_S,Ba_S,Be_S,Cs_S,Ni_S,Sc_S,Ge_S,Hf_S,Nb_S,Ti_S,Zr_S,SumTS
A3_2_11,8.131855762,39.85876416,19.32568143,28.67888712,99.13821292,0.665650845,3.294358213,19.09690894,3.515005371,1.560969851,0.073677701,2.115938948,1223.339073,2.649544561,6.56621801
A3_2_12,9.276064849,47.31865043,22.08504735,29.7834065,104.0812544,0.967286514,3.641177205,20.09058582,3.860715265,2.730034147,0.097292128,2.524155362,1375.763344,2.540026249,3.69677213
A3_2_13,6.902572592,42.10393833,18.60735251,27.53271864,85.09788438,0.768251152,3.232795163,18.28320012,2.810556621,2.002486566,0.062667938,2.101998546,1065.16041,1.774609089,6.30232157
A3_2_14,5.926853658,36.02125103,15.90479248,23.42684492,76.36803895,0.653524576,2.619543685,14.47678093,2.325450101,1.720535714,0.035445654,1.591561363,860.441551,1.101767801,11.414092
A3_2_15,7.308012519,40.71315007,17.5233254,27.71359533,90.29618194,0.674488535,2.926758772,16.925598,2.858031112,2.124689439,0.058340428,1.895986121,1025.028246,1.866934619,5.29310059
A3_3_2,9.06095312,48.59808729,20.30304466,26.67602934,114.9269391,0.775536483,2.919606073,24.21147278,3.428264742,2.35667654,0.076629068,3.020732765,1702.42216,2.574420635,4.09674206
A3_3_5,5.504492055,33.07306238,12.49947327,18.78772979,78.55487803,0.431758871,1.683590609,15.83963123,1.631169841,1.397340228,0.042116583,1.694143915,934.4775484,1.218044621,5.2714414
A3_3_6,3.650034101,20.47329975,8.093503953,10.44168767,51.77009878,0.260871474,1.100921777,10.27422688,1.177963769,0.886136633,0.029511305,1.112167126,615.8393228,0.720482319,3.88028085
A3_3_7,3.803286215,22.759748,8.993136412,10.85824508,53.49444582,0.325587964,1.208000846,10.93036302,1.219957839,0.991165277,0.03286733,1.231319967,653.5615731,0.7914991,8.55818376
A3_3_8,4.068314826,22.93399652,9.373817508,12.63210176,59.41119583,0.316221718,1.311589185,11.58334154,1.385796523,1.100710043,0.037290575,1.332561795,687.5338256,1.048027856,6.45109927
A3_3_9,4.472968307,26.37886266,9.94267676,11.81194318,63.60320701,0.352084242,1.431712208,12.54265195,1.430434937,1.189645333,0.03561284,1.377733411,773.8485921,1.028522234,3.58956517
A3_3_10,3.693933403,22.19123459,8.749804517,11.95502638,54.23673195,0.40188148,1.251914253,11.36104197,1.217987763,0.978801476,0.032709335,1.125990849,628.2870769,0.851872733,5.98206333
A3_3_11,4.556009981,27.15094262,10.4384172,18.46957691,71.02769641,0.412960918,1.383051144,13.01599296,1.341017935,1.219939389,0.029004403,1.494933811,819.6679549,0.838119037,4.50307087
A3_3_12,3.929203463,23.44219252,8.59862877,14.14103526,57.50129837,0.287245837,1.164427241,11.17208463,1.142186051,1.035281678,0.027416735,1.290256898,696.0706307,0.722573898,3.80522044
A3_3_13,4.760327321,27.18380042,10.49620269,14.81151646,67.84166903,0.354997485,1.436203025,13.41723729,1.360044888,1.225068958,0.030622335,1.434742831,808.6780456,0.884399364,8.43595922
A3_3_14,4.111155812,24.66251141,9.2471271,11.97520542,56.68210293,0.282890881,1.211975505,11.83580792,1.215909693,1.062811308,0.029678076,1.344418092,729.2687185,0.79634805,4.24431618
A3_3_15,4.227679777,22.70010883,9.293034073,13.12847594,59.1243561,0.297902584,1.269164649,11.51496553,1.329497236,1.068858897,0.034663283,1.322716346,692.9811774,0.956430983,7.47977887
A5_1_1,6.430837242,25.94214196,22.55043349,89.78976462,113.2351979,1.134593736,4.143786322,28.33521944,4.727865789,1.070130741,0.252415655,2.523547409,1122.975071,6.890727869,9.07404803
A5_1_2,7.044441834,26.75115609,27.63816825,91.04379342,106.2004358,1.178954216,3.666807387,29.30432109,5.77924312,2.567985519,0.223705407,2.436787934,1266.681153,7.809601155,13.1951828
A5_1_3,7.15868058,26.94418305,28.14311075,98.80198906,108.0164122,1.30084261,3.695161615,31.51750523,5.975840151,2.704433611,0.174978353,2.357496206,1373.580623,7.606358632,11.8516862
A5_1_4,6.2988063,22.93660961,22.55437965,84.15804619,114.6013395,0.960135944,3.211789985,28.33504367,5.101010877,2.314385266,0.159048148,2.133163803,1310.069735,6.558552887,12.131657
A5_1_5,5.586960627,21.3714938,20.99251085,79.0780913,85.60703008,0.865627948,3.013188418,26.85930383,4.549708636,2.011205758,0.146835049,1.849384832,1106.532968,5.789938673,18.7645276
A5_1_6,5.607362495,21.07163566,20.98277772,80.6431412,85.85747098,0.886939576,2.964987131,25.266885,4.543243624,2.011911077,0.171797057,2.080316877,1144.910417,6.570967985,21.4486654
A5_1_7,5.778999517,21.77537666,21.15496558,79.26174756,85.59549255,0.967553481,2.952876357,26.36280252,4.690030175,1.984606114,0.191526328,2.15436691,1103.637893,7.752165178,14.898623
A5_1_8,5.915330064,23.74540325,23.47064547,84.46360857,92.7797852,1.035641277,3.450939294,28.5186009,4.881910907,2.073509468,0.215098937,2.347674815,1129.771645,8.129157125,17.1878259
A5_1_9,5.985785595,22.3777365,22.50517282,85.24287135,96.41965779,1.138429531,3.118596644,26.63996883,4.906992867,2.048899747,0.168600148,2.05338331,1109.054684,6.690007345,3.12917722
A5_1_10,5.963559651,23.3527393,22.36724735,87.45443861,104.2872947,0.940411642,3.238068505,26.48778725,4.634501451,1.939328669,0.139676511,2.346524805,1158.058295,5.189470826,6.82570885
A5_1_11,5.990845188,22.50127354,21.80088361,84.43118679,95.70133814,1.076476149,3.124350843,26.50318426,4.75497054,1.962204877,0.157470646,1.985235521,1080.714863,6.394945318,14.9494809
A5_1_12,5.537105565,20.946465,19.77176632,78.18228102,85.38097877,0.936777946,2.855777083,24.72702965,4.363770176,1.831142503,0.151180369,1.842444321,1004.913089,5.946160223,12.3400376
A5_1_13,5.007577833,18.21858814,17.72383528,72.16350712,74.31956735,0.812403282,2.50839649,22.28220289,3.989213539,1.695542999,0.173341609,1.849002907,980.1487959,6.702684751,7.59879261
A5_1_14,5.455243492,20.13259211,19.3164877,75.0020943,92.18207854,0.939890342,2.870045946,24.43572784,4.259557142,1.781355498,0.197984703,2.09745641,975.7954258,7.509738198,8.89757047
A5_1_15,5.242637467,20.45065819,18.96327383,78.99124024,83.98810914,0.851770185,2.907395261,29.54650674,4.222065759,1.697246573,0.185610072,2.049117691,1014.471204,6.74529103,9.26392582
A5_1_16,5.458734719,20.67732193,21.31645332,76.11780451,90.12529449,0.941411874,3.346226757,23.57047372,4.01309957,1.824482125,0.205987191,2.537397581,1029.905589,5.36078244,14.9150658
A5_1_13d,5.189866199,18.30036074,18.69869554,77.61094786,74.46683875,0.89901215,2.613968537,26.8224807,4.014601706,1.803285892,0.210522867,2.124782469,1026.363295,7.54572351,8.56641583
A5_1_14d,6.31216257,25.07578685,23.45521099,91.23947968,106.469915,1.085160677,3.452837229,28.41830649,5.056888109,1.983451818,0.17404719,2.140318148,1012.472518,7.494611073,11.5411993
