SampleN,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin
B3_3_5,0.464663982,4849.399902,3467.399902,851.2999878,0.42187199,-3.200000048,26.89999962,41.86999893,-21.47999954
B3_3_6,0.464663982,4849.399902,3467.399902,851.2999878,0.42187199,-3.200000048,26.89999962,41.86999893,-21.47999954
B3_3_7,0.464663982,4849.399902,3467.399902,851.2999878,0.42187199,-3.200000048,26.89999962,41.86999893,-21.47999954
B3_3_8,0.464663982,4849.399902,3467.399902,851.2999878,0.42187199,-3.200000048,26.89999962,41.86999893,-21.47999954
B3_3_9,0.464663982,4849.399902,3467.399902,851.2999878,0.42187199,-3.200000048,26.89999962,41.86999893,-21.47999954
B3_3_10,0.464663982,4849.399902,3467.399902,851.2999878,0.42187199,-3.200000048,26.89999962,41.86999893,-21.47999954
B3_3_11,0.464663982,4849.399902,3467.399902,851.2999878,0.42187199,-3.200000048,26.89999962,41.86999893,-21.47999954
B3_3_13,0.464663982,4849.399902,3467.399902,851.2999878,0.42187199,-3.200000048,26.89999962,41.86999893,-21.47999954
B3_3_15,0.464663982,4849.399902,3467.399902,851.2999878,0.42187199,-3.200000048,26.89999962,41.86999893,-21.47999954
C1_1_1,0.221087992,5207.799805,3608.600098,835.4000244,0.619014978,0.5,26.29999924,40.04000092,-17.97999954
C1_1_2,0.221087992,5207.799805,3608.600098,835.4000244,0.619014978,0.5,26.29999924,40.04000092,-17.97999954
C1_1_3,0.221087992,5207.799805,3608.600098,835.4000244,0.619014978,0.5,26.29999924,40.04000092,-17.97999954
C1_1_4,0.221087992,5207.799805,3608.600098,835.4000244,0.619014978,0.5,26.29999924,40.04000092,-17.97999954
C1_1_5,0.221087992,5207.799805,3608.600098,835.4000244,0.619014978,0.5,26.29999924,40.04000092,-17.97999954
C1_1_6,0.221087992,5207.799805,3608.600098,835.4000244,0.619014978,0.5,26.29999924,40.04000092,-17.97999954
C1_1_7,0.221087992,5207.799805,3608.600098,835.4000244,0.619014978,0.5,26.29999924,40.04000092,-17.97999954
C1_1_8,0.221087992,5207.799805,3608.600098,835.4000244,0.619014978,0.5,26.29999924,40.04000092,-17.97999954
C1_1_9,0.221087992,5207.799805,3608.600098,835.4000244,0.619014978,0.5,26.29999924,40.04000092,-17.97999954
C1_1_10,0.221087992,5207.799805,3608.600098,835.4000244,0.619014978,0.5,26.29999924,40.04000092,-17.97999954
C1_1_11,0.221087992,5207.799805,3608.600098,835.4000244,0.619014978,0.5,26.29999924,40.04000092,-17.97999954
C1_1_12,0.221087992,5207.799805,3608.600098,835.4000244,0.619014978,0.5,26.29999924,40.04000092,-17.97999954
C1_1_13,0.221087992,5207.799805,3608.600098,835.4000244,0.619014978,0.5,26.29999924,40.04000092,-17.97999954
C1_1_14,0.221087992,5207.799805,3608.600098,835.4000244,0.619014978,0.5,26.29999924,40.04000092,-17.97999954
C1_1_15,0.221087992,5207.799805,3608.600098,835.4000244,0.619014978,0.5,26.29999924,40.04000092,-17.97999954
C1_2_1,0.121887982,4979.0,3423.0,821.5999756,0.697808981,0.100000001,25.60000038,39.22999954,-18.78000069
C1_2_2,0.121887982,4979.0,3423.0,821.5999756,0.697808981,0.100000001,25.60000038,39.22999954,-18.78000069
C1_2_3,0.121887982,4979.0,3423.0,821.5999756,0.697808981,0.100000001,25.60000038,39.22999954,-18.78000069
C1_2_4,0.121887982,4979.0,3423.0,821.5999756,0.697808981,0.100000001,25.60000038,39.22999954,-18.78000069
C1_2_5,0.121887982,4979.0,3423.0,821.5999756,0.697808981,0.100000001,25.60000038,39.22999954,-18.78000069
C1_2_6,0.121887982,4979.0,3423.0,821.5999756,0.697808981,0.100000001,25.60000038,39.22999954,-18.78000069
C1_2_7,0.121887982,4979.0,3423.0,821.5999756,0.697808981,0.100000001,25.60000038,39.22999954,-18.78000069
C1_2_8,0.121887982,4979.0,3423.0,821.5999756,0.697808981,0.100000001,25.60000038,39.22999954,-18.78000069
C1_2_9,0.121887982,4979.0,3423.0,821.5999756,0.697808981,0.100000001,25.60000038,39.22999954,-18.78000069
C1_2_10,0.121887982,4979.0,3423.0,821.5999756,0.697808981,0.100000001,25.60000038,39.22999954,-18.78000069
C1_2_11,0.121887982,4979.0,3423.0,821.5999756,0.697808981,0.100000001,25.60000038,39.22999954,-18.78000069
C1_2_12,0.121887982,4979.0,3423.0,821.5999756,0.697808981,0.100000001,25.60000038,39.22999954,-18.78000069
C1_2_13,0.121887982,4979.0,3423.0,821.5999756,0.697808981,0.100000001,25.60000038,39.22999954,-18.78000069
