SampleN,DI,GDD0,GDD5,GP,MI,MTCO,MTWA,Tmax,Tmin,SumTS
A5_3_10,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023,7.89675979
A5_3_11,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023,9.28840264
A5_3_12,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023,11.5495939
A5_3_13,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023,11.0298568
A5_3_14,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023,13.2416985
A5_3_15,0.394555986,5037.100098,3558.600098,854.4000244,0.481168002,-1.200000048,26.79999924,41.27999878,-18.76000023,10.8381637
B2_2_8,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931,0.86013661
B2_2_9,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931,2.53586201
B2_2_10,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931,0.81259666
B2_2_11,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931,1.20238711
B2_2_12,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931,2.93275107
B2_2_13,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931,2.57547244
B2_2_14,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931,1.98345004
B2_2_15,0.446932971,4889.100098,3489.699951,844.5999756,0.436717987,-2.799999952,26.70000076,42.72000122,-20.21999931,0.80849201
B2_3_1,0.423815012,4716.399902,3344.100098,829.4000244,0.455303997,-3.299999952,26.10000038,42.29000092,-20.62000084,3.92223082
B2_3_2,0.423815012,4716.399902,3344.100098,829.4000244,0.455303997,-3.299999952,26.10000038,42.29000092,-20.62000084,1.99140431
B2_3_3,0.423815012,4716.399902,3344.100098,829.4000244,0.455303997,-3.299999952,26.10000038,42.29000092,-20.62000084,2.50644711
B2_3_4,0.423815012,4716.399902,3344.100098,829.4000244,0.455303997,-3.299999952,26.10000038,42.29000092,-20.62000084,2.09653015
B2_3_6,0.423815012,4716.399902,3344.100098,829.4000244,0.455303997,-3.299999952,26.10000038,42.29000092,-20.62000084,0.54716445
B2_3_7,0.423815012,4716.399902,3344.100098,829.4000244,0.455303997,-3.299999952,26.10000038,42.29000092,-20.62000084,3.00859392
B2_3_9,0.423815012,4716.399902,3344.100098,829.4000244,0.455303997,-3.299999952,26.10000038,42.29000092,-20.62000084,1.81311299
